CMDLINE /Users/jonatas/projects/github/huge-dataset-training/venv/bin/python main.py
MEM 0.140625 1610498257.5620
MEM 19.652344 1610498257.6624
MEM 31.050781 1610498257.7636
MEM 44.261719 1610498257.8679
MEM 53.906250 1610498257.9681
MEM 62.726562 1610498258.0683
MEM 68.796875 1610498258.1696
MEM 100.558594 1610498258.2701
MEM 108.777344 1610498258.3704
MEM 115.156250 1610498258.4712
MEM 123.105469 1610498258.5744
MEM 126.902344 1610498258.6762
MEM 131.121094 1610498258.7794
MEM 137.210938 1610498258.8834
MEM 142.777344 1610498258.9839
MEM 147.214844 1610498259.0865
MEM 147.226562 1610498259.1884
MEM 148.832031 1610498259.2903
MEM 148.832031 1610498259.3911
MEM 149.046875 1610498259.4961
MEM 149.140625 1610498259.5998
MEM 149.140625 1610498259.7051
MEM 149.816406 1610498259.8082
MEM 149.820312 1610498259.9133
MEM 149.820312 1610498260.0183
MEM 149.851562 1610498260.1232
MEM 150.562500 1610498260.2263
MEM 150.562500 1610498260.3272
MEM 150.578125 1610498260.4325
MEM 150.593750 1610498260.5377
MEM 150.593750 1610498260.6413
MEM 150.601562 1610498260.7454
MEM 150.601562 1610498260.8489
MEM 150.601562 1610498260.9543
MEM 150.617188 1610498261.0596
MEM 150.617188 1610498261.1617
MEM 150.617188 1610498261.2657
MEM 150.628906 1610498261.3701
MEM 150.628906 1610498261.4728
MEM 150.628906 1610498261.5735
MEM 150.640625 1610498261.6785
MEM 150.640625 1610498261.7823
MEM 150.640625 1610498261.8876
MEM 164.601562 1610498261.9904
MEM 160.710938 1610498262.0957
MEM 160.812500 1610498262.2000
MEM 160.812500 1610498262.3019
MEM 160.996094 1610498262.4073
MEM 160.996094 1610498262.5084
MEM 160.996094 1610498262.6138
MEM 160.996094 1610498262.7157
MEM 161.289062 1610498262.8161
MEM 161.289062 1610498262.9203
MEM 161.828125 1610498263.0224
MEM 162.078125 1610498263.1239
MEM 162.312500 1610498263.2242
MEM 162.566406 1610498263.3263
MEM 162.746094 1610498263.4274
MEM 162.980469 1610498263.5280
MEM 163.234375 1610498263.6316
MEM 163.457031 1610498263.7346
MEM 163.718750 1610498263.8363
MEM 165.222656 1610498263.9386
MEM 168.300781 1610498264.0417
MEM 169.757812 1610498264.1420
MEM 172.167969 1610498264.2459
MEM 174.664062 1610498264.3488
MEM 177.179688 1610498264.4501
MEM 179.812500 1610498264.5504
MEM 182.320312 1610498264.6531
MEM 184.933594 1610498264.7537
MEM 187.031250 1610498264.8540
MEM 189.562500 1610498264.9555
MEM 191.191406 1610498265.0599
MEM 193.023438 1610498265.1647
MEM 195.203125 1610498265.2650
MEM 197.890625 1610498265.3672
MEM 200.445312 1610498265.4707
MEM 202.902344 1610498265.5748
MEM 204.761719 1610498265.6754
MEM 207.484375 1610498265.7805
MEM 210.824219 1610498265.8857
MEM 211.523438 1610498265.9903
MEM 214.507812 1610498266.0951
MEM 216.445312 1610498266.1976
MEM 194.144531 1610498266.2996
MEM 194.578125 1610498266.4027
MEM 194.875000 1610498266.5037
MEM 195.160156 1610498266.6047
MEM 195.460938 1610498266.7056
MEM 195.750000 1610498266.8082
MEM 196.039062 1610498266.9087
MEM 196.312500 1610498267.0090
MEM 196.609375 1610498267.1123
MEM 196.789062 1610498267.2129
MEM 197.734375 1610498267.3172
MEM 199.824219 1610498267.4177
MEM 202.062500 1610498267.5215
MEM 204.300781 1610498267.6249
MEM 207.417969 1610498267.7254
MEM 210.296875 1610498267.8282
MEM 212.382812 1610498267.9286
MEM 215.214844 1610498268.0295
MEM 217.402344 1610498268.1347
MEM 227.695312 1610498268.2399
MEM 237.273438 1610498268.3451
MEM 216.316406 1610498268.4464
MEM 216.648438 1610498268.5498
MEM 216.953125 1610498268.6542
MEM 217.234375 1610498268.7546
MEM 217.660156 1610498268.8556
MEM 217.472656 1610498268.9589
MEM 217.214844 1610498269.0600
MEM 217.507812 1610498269.1610
