CMDLINE /Users/jonatas/projects/github/huge-dataset-training/venv/bin/python main.py
MEM 0.093750 1610508884.4818
MEM 15.382812 1610508884.5823
MEM 25.949219 1610508884.6851
MEM 36.464844 1610508884.7854
MEM 46.488281 1610508884.8857
MEM 52.394531 1610508884.9860
MEM 56.773438 1610508885.0902
MEM 62.183594 1610508885.1939
MEM 65.863281 1610508885.2987
MEM 92.390625 1610508885.4023
MEM 107.976562 1610508885.5054
MEM 112.433594 1610508885.6060
MEM 120.683594 1610508885.7096
MEM 125.117188 1610508885.8123
MEM 128.371094 1610508885.9137
MEM 134.320312 1610508886.0139
MEM 138.468750 1610508886.1141
MEM 143.933594 1610508886.2146
MEM 147.082031 1610508886.3190
MEM 147.082031 1610508886.4242
MEM 147.082031 1610508886.5247
MEM 147.082031 1610508886.6300
MEM 147.082031 1610508886.7325
MEM 147.164062 1610508886.8351
MEM 148.781250 1610508886.9383
MEM 148.781250 1610508887.0417
MEM 149.003906 1610508887.1466
MEM 149.093750 1610508887.2512
MEM 149.093750 1610508887.3548
MEM 149.785156 1610508887.4592
MEM 149.785156 1610508887.5596
MEM 149.785156 1610508887.6648
MEM 149.808594 1610508887.7683
MEM 149.808594 1610508887.8726
MEM 150.515625 1610508887.9765
MEM 150.519531 1610508888.0793
MEM 150.519531 1610508888.1823
MEM 150.558594 1610508888.2831
MEM 150.890625 1610508888.3840
MEM 150.890625 1610508888.4872
MEM 150.902344 1610508888.5915
MEM 150.929688 1610508888.6936
MEM 150.929688 1610508888.7942
MEM 150.929688 1610508888.8980
MEM 150.929688 1610508889.0018
MEM 150.929688 1610508889.1063
MEM 150.941406 1610508889.2092
MEM 150.941406 1610508889.3130
MEM 150.949219 1610508889.4176
MEM 150.949219 1610508889.5216
MEM 150.949219 1610508889.6258
MEM 162.113281 1610508889.7262
MEM 162.546875 1610508889.8265
MEM 163.101562 1610508889.9274
MEM 163.777344 1610508890.0312
MEM 164.480469 1610508890.1331
MEM 165.015625 1610508890.2336
MEM 165.718750 1610508890.3343
MEM 166.335938 1610508890.4351
MEM 167.164062 1610508890.5394
MEM 167.847656 1610508890.6429
MEM 168.480469 1610508890.7431
MEM 168.769531 1610508890.8461
MEM 169.234375 1610508890.9512
MEM 169.710938 1610508891.0531
MEM 170.203125 1610508891.1561
MEM 170.898438 1610508891.2603
MEM 171.742188 1610508891.3639
MEM 172.414062 1610508891.4642
MEM 173.164062 1610508891.5689
MEM 173.804688 1610508891.6726
MEM 174.312500 1610508891.7746
MEM 174.742188 1610508891.8757
MEM 175.093750 1610508891.9766
MEM 175.605469 1610508892.0809
MEM 176.171875 1610508892.1824
MEM 176.769531 1610508892.2829
MEM 177.582031 1610508892.3865
MEM 178.246094 1610508892.4876
MEM 165.261719 1610508892.5884
MEM 159.738281 1610508892.6888
