CMDLINE /Users/jonatas/projects/github/huge-dataset-training/venv/bin/python main.py
MEM 0.140625 1610555217.0095
MEM 15.968750 1610555217.1132
MEM 53.972656 1610555217.2181
MEM 70.949219 1610555217.3211
MEM 84.558594 1610555217.4223
MEM 100.085938 1610555217.5227
MEM 110.371094 1610555217.6245
MEM 122.699219 1610555217.7292
MEM 131.007812 1610555217.8324
MEM 140.921875 1610555217.9366
MEM 147.218750 1610555218.0379
MEM 147.218750 1610555218.1401
MEM 148.878906 1610555218.2405
MEM 149.101562 1610555218.3410
MEM 149.101562 1610555218.4422
MEM 149.175781 1610555218.5424
MEM 149.816406 1610555218.6470
MEM 149.816406 1610555218.7498
MEM 149.820312 1610555218.8546
MEM 149.820312 1610555218.9595
MEM 149.859375 1610555219.0617
MEM 150.527344 1610555219.1619
MEM 150.527344 1610555219.2622
MEM 150.542969 1610555219.3672
MEM 150.542969 1610555219.4708
MEM 150.542969 1610555219.5712
MEM 150.550781 1610555219.6765
MEM 150.550781 1610555219.7817
MEM 150.550781 1610555219.8846
MEM 150.558594 1610555219.9892
MEM 150.640625 1610555220.0928
MEM 150.640625 1610555220.1937
MEM 150.640625 1610555220.2940
MEM 150.640625 1610555220.3983
MEM 150.640625 1610555220.5022
MEM 150.656250 1610555220.6071
MEM 150.656250 1610555220.7097
MEM 150.656250 1610555220.8148
MEM 157.390625 1610555220.9160
MEM 162.867188 1610555221.0212
MEM 164.230469 1610555221.1255
MEM 165.781250 1610555221.2307
MEM 167.449219 1610555221.3326
MEM 168.683594 1610555221.4355
MEM 169.429688 1610555221.5408
MEM 170.257812 1610555221.6421
MEM 171.453125 1610555221.7472
MEM 173.164062 1610555221.8525
MEM 174.496094 1610555221.9565
MEM 175.539062 1610555222.0588
MEM 176.429688 1610555222.1605
MEM 177.910156 1610555222.2633
MEM 179.320312 1610555222.3663
MEM 313.593750 1610555222.4667
MEM 314.246094 1610555222.5717
MEM 314.246094 1610555222.6745
MEM 314.246094 1610555222.7766
MEM 314.246094 1610555222.8774
MEM 314.246094 1610555222.9777
MEM 314.238281 1610555223.0817
MEM 314.238281 1610555223.1836
MEM 314.238281 1610555223.2852
MEM 314.238281 1610555223.3904
MEM 314.238281 1610555223.4915
MEM 314.238281 1610555223.5921
MEM 314.238281 1610555223.6940
MEM 314.238281 1610555223.7952
MEM 314.238281 1610555223.8982
MEM 314.238281 1610555224.0034
MEM 314.238281 1610555224.1086
MEM 314.238281 1610555224.2136
MEM 314.238281 1610555224.3187
MEM 314.238281 1610555224.4199
MEM 314.238281 1610555224.5246
MEM 314.238281 1610555224.6254
MEM 314.238281 1610555224.7278
MEM 314.238281 1610555224.8330
MEM 314.238281 1610555224.9350
MEM 314.238281 1610555225.0358
MEM 314.238281 1610555225.1370
MEM 314.238281 1610555225.2380
MEM 314.238281 1610555225.3421
MEM 314.238281 1610555225.4440
MEM 314.238281 1610555225.5479
MEM 314.238281 1610555225.6532
MEM 314.238281 1610555225.7553
MEM 314.238281 1610555225.8596
MEM 314.238281 1610555225.9611
MEM 314.582031 1610555226.0626
MEM 315.820312 1610555226.1671
MEM 316.179688 1610555226.2708
MEM 317.050781 1610555226.3759
MEM 317.902344 1610555226.4790
MEM 318.910156 1610555226.5838
MEM 319.988281 1610555226.6852
MEM 321.074219 1610555226.7903
MEM 322.097656 1610555226.8939
MEM 323.226562 1610555226.9991
MEM 324.308594 1610555227.1018
MEM 325.378906 1610555227.2026
MEM 326.417969 1610555227.3029
MEM 327.507812 1610555227.4048
MEM 327.156250 1610555227.5097
MEM 327.234375 1610555227.6111
MEM 327.320312 1610555227.7143
MEM 327.402344 1610555227.8179
MEM 327.503906 1610555227.9205
MEM 327.585938 1610555228.0208
MEM 327.617188 1610555228.1215
MEM 325.386719 1610555228.2241
MEM 325.523438 1610555228.3277
MEM 325.664062 1610555228.4325
MEM 325.992188 1610555228.5329
MEM 326.726562 1610555228.6337
MEM 327.660156 1610555228.7340
MEM 328.562500 1610555228.8368
MEM 327.136719 1610555228.9373
MEM 327.218750 1610555229.0413
MEM 327.304688 1610555229.1439
MEM 327.382812 1610555229.2444
MEM 327.460938 1610555229.3447
MEM 327.542969 1610555229.4458
MEM 327.691406 1610555229.5510
MEM 328.105469 1610555229.6535
MEM 328.203125 1610555229.7587
MEM 328.285156 1610555229.8596
MEM 328.769531 1610555229.9603
MEM 329.164062 1610555230.0611
MEM 327.382812 1610555230.1616
MEM 327.441406 1610555230.2636
MEM 327.441406 1610555230.3673
MEM 324.753906 1610555230.4692
MEM 324.828125 1610555230.5698
MEM 324.914062 1610555230.6727
MEM 324.992188 1610555230.7733
MEM 325.304688 1610555230.8773
MEM 325.500000 1610555230.9782
MEM 325.597656 1610555231.0834
MEM 326.406250 1610555231.1847
MEM 327.441406 1610555231.2858
MEM 328.253906 1610555231.3898
MEM 327.683594 1610555231.4902
MEM 327.679688 1610555231.5947
MEM 327.761719 1610555231.6980
MEM 327.847656 1610555231.8027
MEM 327.929688 1610555231.9059
MEM 328.011719 1610555232.0063
MEM 328.093750 1610555232.1097
MEM 328.218750 1610555232.2111
MEM 328.324219 1610555232.3163
MEM 328.386719 1610555232.4216
MEM 328.386719 1610555232.5222
MEM 328.187500 1610555232.6273
MEM 328.468750 1610555232.7319
MEM 328.675781 1610555232.8348
MEM 327.968750 1610555232.9388
MEM 328.054688 1610555233.0440
MEM 328.132812 1610555233.1467
MEM 328.261719 1610555233.2474
MEM 328.417969 1610555233.3515
MEM 328.503906 1610555233.4568
MEM 328.589844 1610555233.5621
MEM 328.671875 1610555233.6642
MEM 328.757812 1610555233.7694
MEM 328.839844 1610555233.8717
MEM 329.015625 1610555233.9757
MEM 329.187500 1610555234.0791
MEM 327.792969 1610555234.1837
MEM 327.867188 1610555234.2848
MEM 327.953125 1610555234.3899
MEM 328.035156 1610555234.4949
MEM 328.093750 1610555234.5958
MEM 328.093750 1610555234.7011
MEM 328.164062 1610555234.8015
MEM 328.246094 1610555234.9067
MEM 328.332031 1610555235.0097
MEM 328.410156 1610555235.1128
MEM 328.546875 1610555235.2177
MEM 328.804688 1610555235.3229
MEM 329.054688 1610555235.4250
MEM 328.269531 1610555235.5254
MEM 328.343750 1610555235.6292
MEM 328.429688 1610555235.7338
MEM 328.507812 1610555235.8372
MEM 328.593750 1610555235.9424
MEM 328.675781 1610555236.0447
MEM 328.757812 1610555236.1464
MEM 328.839844 1610555236.2474
MEM 328.917969 1610555236.3501
MEM 329.000000 1610555236.4527
MEM 329.085938 1610555236.5555
MEM 329.371094 1610555236.6598
MEM 329.511719 1610555236.7636
MEM 329.515625 1610555236.8642
MEM 327.593750 1610555236.9686
MEM 327.675781 1610555237.0738
MEM 327.757812 1610555237.1789
MEM 327.839844 1610555237.2805
MEM 327.921875 1610555237.3848
