CMDLINE /Users/jonatas/projects/github/huge-dataset-training/venv/bin/python main.py
MEM 0.140625 1610727188.3313
MEM 15.675781 1610727188.4359
MEM 24.652344 1610727188.5410
MEM 40.683594 1610727188.6415
MEM 52.343750 1610727188.7459
MEM 60.121094 1610727188.8475
MEM 72.007812 1610727188.9477
MEM 80.968750 1610727189.0503
MEM 87.542969 1610727189.1519
MEM 91.562500 1610727189.2541
MEM 97.691406 1610727189.3552
MEM 103.937500 1610727189.4584
MEM 108.585938 1610727189.5587
MEM 113.664062 1610727189.6592
MEM 117.503906 1610727189.7635
MEM 124.296875 1610727189.8679
MEM 130.058594 1610727189.9687
MEM 135.351562 1610727190.0722
MEM 140.726562 1610727190.1758
MEM 145.152344 1610727190.2762
MEM 146.992188 1610727190.3771
MEM 146.992188 1610727190.4789
MEM 146.992188 1610727190.5823
MEM 146.992188 1610727190.6865
MEM 146.992188 1610727190.7885
MEM 147.082031 1610727190.8890
MEM 147.082031 1610727190.9935
MEM 148.687500 1610727191.0972
MEM 148.910156 1610727191.1987
MEM 148.910156 1610727191.3014
MEM 149.000000 1610727191.4026
MEM 149.207031 1610727191.5083
MEM 149.207031 1610727191.6138
MEM 149.234375 1610727191.7149
MEM 149.269531 1610727191.8160
MEM 149.269531 1610727191.9210
MEM 149.781250 1610727192.0243
MEM 149.781250 1610727192.1296
MEM 149.785156 1610727192.2334
MEM 149.792969 1610727192.3351
MEM 149.792969 1610727192.4384
MEM 149.851562 1610727192.5425
MEM 149.871094 1610727192.6474
MEM 149.871094 1610727192.7517
MEM 149.875000 1610727192.8548
MEM 150.183594 1610727192.9587
MEM 150.183594 1610727193.0631
MEM 150.187500 1610727193.1668
MEM 150.218750 1610727193.2705
MEM 150.218750 1610727193.3748
MEM 150.308594 1610727193.4784
MEM 150.308594 1610727193.5814
MEM 150.308594 1610727193.6864
MEM 157.273438 1610727193.7911
MEM 162.070312 1610727193.8913
MEM 162.671875 1610727193.9931
MEM 163.121094 1610727194.0937
MEM 163.781250 1610727194.1972
MEM 164.476562 1610727194.3026
MEM 165.152344 1610727194.4077
MEM 165.996094 1610727194.5083
MEM 166.773438 1610727194.6117
MEM 167.546875 1610727194.7148
MEM 168.273438 1610727194.8159
MEM 168.882812 1610727194.9166
MEM 169.367188 1610727195.0185
MEM 169.812500 1610727195.1226
MEM 170.265625 1610727195.2249
MEM 170.753906 1610727195.3287
MEM 171.500000 1610727195.4293
MEM 172.312500 1610727195.5302
MEM 173.066406 1610727195.6324
MEM 173.507812 1610727195.7361
MEM 173.863281 1610727195.8395
MEM 174.449219 1610727195.9420
MEM 174.933594 1610727196.0434
MEM 175.343750 1610727196.1478
MEM 175.761719 1610727196.2481
MEM 176.250000 1610727196.3486
MEM 176.980469 1610727196.4527
MEM 177.660156 1610727196.5565
MEM 178.332031 1610727196.6607
MEM 178.933594 1610727196.7649
MEM 266.925781 1610727196.8661
MEM 313.929688 1610727196.9691
MEM 313.929688 1610727197.0740
MEM 313.929688 1610727197.1771
MEM 313.929688 1610727197.2811
MEM 313.929688 1610727197.3851
MEM 313.929688 1610727197.4896
MEM 313.929688 1610727197.5920
MEM 313.929688 1610727197.6943
MEM 313.929688 1610727197.7989
MEM 313.929688 1610727197.9007
MEM 313.929688 1610727198.0050
MEM 313.929688 1610727198.1100
MEM 313.929688 1610727198.2148
MEM 313.929688 1610727198.3181
MEM 313.929688 1610727198.4185
MEM 313.929688 1610727198.5198
MEM 313.929688 1610727198.6224
MEM 313.929688 1610727198.7271
MEM 313.929688 1610727198.8300
MEM 313.929688 1610727198.9305
MEM 313.929688 1610727199.0347
MEM 313.929688 1610727199.1353
MEM 313.929688 1610727199.2390
MEM 313.929688 1610727199.3400
MEM 313.929688 1610727199.4437
MEM 313.929688 1610727199.5479
MEM 313.929688 1610727199.6483
MEM 313.929688 1610727199.7514
MEM 313.929688 1610727199.8563
MEM 313.929688 1610727199.9587
MEM 313.929688 1610727200.0591
MEM 313.929688 1610727200.1632
MEM 313.929688 1610727200.2680
MEM 314.199219 1610727200.3718
MEM 314.296875 1610727200.4759
MEM 316.257812 1610727200.5807
MEM 316.328125 1610727200.6838
MEM 316.367188 1610727200.7877
MEM 316.250000 1610727200.8921
MEM 316.382812 1610727200.9934
MEM 316.496094 1610727201.0971
MEM 316.250000 1610727201.2003
MEM 316.367188 1610727201.3049
MEM 316.464844 1610727201.4064
MEM 316.226562 1610727201.5103
MEM 316.316406 1610727201.6155
MEM 316.398438 1610727201.7172
MEM 316.507812 1610727201.8224
MEM 316.218750 1610727201.9237
MEM 316.261719 1610727202.0252
MEM 316.347656 1610727202.1275
MEM 316.425781 1610727202.2322
MEM 316.527344 1610727202.3333
MEM 316.253906 1610727202.4343
MEM 316.335938 1610727202.5371
MEM 316.410156 1610727202.6421
MEM 316.500000 1610727202.7423
MEM 316.593750 1610727202.8426
MEM 316.281250 1610727202.9436
MEM 316.367188 1610727203.0447
MEM 316.449219 1610727203.1494
MEM 316.582031 1610727203.2527
MEM 316.656250 1610727203.3532
MEM 316.390625 1610727203.4574
MEM 316.480469 1610727203.5590
MEM 316.566406 1610727203.6619
MEM 316.648438 1610727203.7656
MEM 316.441406 1610727203.8704
MEM 316.523438 1610727203.9727
MEM 316.468750 1610727204.0755
MEM 316.585938 1610727204.1789
MEM 316.703125 1610727204.2822
MEM 316.394531 1610727204.3846
MEM 316.523438 1610727204.4860
MEM 316.644531 1610727204.5906
MEM 316.722656 1610727204.6932
MEM 316.457031 1610727204.7977
MEM 316.527344 1610727204.8998
MEM 316.628906 1610727205.0032
MEM 316.746094 1610727205.1082
MEM 316.488281 1610727205.2113
MEM 302.199219 1610727205.3150
MEM 195.203125 1610727205.4171
MEM 154.722656 1610727205.5175
